first_name,last_name,gender
Shaban,Kryeziu,M
Blerina,Hajdari,F
Ramiz,Osmani,M
Besim,Aliu,M
Xheneta,Zeqiri,F
Shaban,Bytyqi,M
Bujar,Tahiri,M
Rina,Nuhiu,F
Shkurte,Sinani,F
Drita,Likaj,F
Besarta,Selimi,F
Ramiz,Kryeziu,M
Nderim,Dauti,M
Zef,Krasniqi,M
Fatmir,Dauti,M
Haxhere,Hasani,F
Perparim,Isufi,M
Drilon,Kastrati,M
Lavdim,Mehmeti,M
Gentian,Rugova,M
Jehona,Gashi,F
Luan,Rexhepi,M
Sokol,Hajdari,M
Artan,Tahiri,M
Agon,Ferati,M
Luan,Berisha,M
Xhevdet,Rexhepi,M
Fisnik,Hyseni,M
Pajtime,Ibrahimi,F
Qamile,Osmani,F
Pranvera,Ibrahimi,F
Shqipe,Miftari,F
Hana,Kastrati,F
Samir,Miftari,M
Ymerije,Bytyqi,F
Oli,Sinani,F
Urti,Ademi,F
Isa,Sadiku,M
Ymerije,Bajrami,F
Hana,Salihu,F
Haxhere,Sadiku,F
Saranda,Limani,F
Besim,Ibrahimi,M
Veton,Rugova,M
Drita,Salihu,F
Astrit,Kabashi,M
Arjeta,Kryeziu,F
Bashkim,Abazi,M
Endrit,Syla,M
Besarta,Limani,F
Orhidea,Likaj,F
Ymerije,Kabashi,F
Zylfije,Hyseni,F
Kaltrina,Bajrami,F
Qendrim,Miftari,M
Urti,Syla,F
Rina,Berisha,F
Ermal,Hajdari,M
Mentor,Ferati,M
Rina,Kabashi,F
Astrit,Sadiku,M
Nderim,Abazi,M
Xhevahire,Syla,F
Besnik,Rexhepi,M
Visar,Ademi,M
Artan,Gashi,M
Edon,Mehmeti,M
Kujtim,Morina,M
Zef,Nuhiu,M
Samir,Dauti,M
Egzon,Ademi,M
Urti,Morina,F
Vlora,Demiri,F
Luan,Sadiku,M
Drita,Abazi,F
Lavdim,Kabashi,M
Fisnik,Bytyqi,M
Visar,Rexhepi,M
Astrit,Ahmeti,M
Majlinda,Likaj,F
Qamile,Berisha,F
Jeta,Hajdari,F
Yllka,Shala,F
Bujar,Miftari,M
Faton,Nuhiu,M
Edon,Ahmeti,M
Bujar,Hyseni,M
Samir,Abazi,M
Flutura,Hasani,F
Yllka,Dauti,F
Samir,Ferati,M
Qamil,Rexhepi,M
Dardan,Bytyqi,M
Fisnik,Ademi,M
Ymerije,Abazi,F
Redon,Dauti,M
Petrit,Nuhiu,M
Ymerije,Limani,F
Jehona,Syla,F
Egzona,Maliqi,F
Burbuqe,Ahmeti,F
Jehona,Bytyqi,F
Iliriana,Likaj,F
Visar,Thaqi,M
Oli,Kastrati,F
Dafina,Rugova,F
Redon,Shala,M
Luan,Morina,M
Gentiana,Nuhiu,F
Bashkim,Ferati,M
Besarta,Demiri,F
Vlora,Kabashi,F
Nderim,Sinani,M
Liridon,Syla,M
Dafina,Bytyqi,F
Enver,Osmani,M
Blerta,Bytyqi,F
Burbuqe,Miftari,F
Blerta,Hasani,F
Redon,Kastrati,M
Nora,Syla,F
Ermal,Bajrami,M
Samir,Rugova,M
Yll,Demiri,M
Endrit,Morina,M
Agon,Hasani,M
Kastriot,Nuhiu,M
Fisnik,Limani,M
Leonora,Hoxha,F
Dardan,Aliu,M
Zylfije,Demiri,F
Fjolla,Maliqi,F
Elira,Likaj,F
Nderim,Sadiku,M
Gezim,Bajrami,M
Kastriot,Berisha,M
Perparim,Selimi,M
Redon,Rexhepi,M
Xhevahire,Kastrati,F
Besnik,Nuhiu,M
Qendresa,Bytyqi,F
Leonora,Isufi,F
Luljeta,Ahmeti,F
Gentian,Thaqi,M
Sokol,Rexhepi,M
Ganimete,Aliu,F
Kushtrim,Maliqi,M
Perparim,Hoxha,M
Yllka,Dauti,F
Haxhere,Kastrati,F
Ermal,Abazi,M
Rina,Tahiri,F
Shqipe,Tahiri,F
Arjeta,Thaqi,F
Shkelzen,Hajdari,M
Visar,Salihu,M
Agon,Osmani,M
Xhevdet,Limani,M
Vlora,Rexhepi,F
Flutura,Hoxha,F
Perparim,Demiri,M
Drita,Mehmeti,F
Arjeta,Krasniqi,F
Qendresa,Kabashi,F
Flutura,Berisha,F
Gentiana,Aliu,F
Kujtesa,Rexhepi,F
Liridon,Kryeziu,M
Gentiana,Kastrati,F
Gezim,Bajrami,M
Teuta,Shala,F
Parin,Berisha,M
Leonora,Sinani,F
Dafina,Berisha,F
Nora,Shala,F
Enver,Hajdari,M
Qendrim,Miftari,M
Valon,Zeqiri,M
Arjeta,Aliu,F
Mergim,Bytyqi,M
Ganimete,Likaj,F
Fitore,Salihu,F
Egzon,Morina,M
Visar,Morina,M
Kujtesa,Likaj,F
Remzije,Isufi,F
Shkelzen,Sadiku,M
Burbuqe,Hoxha,F
Faton,Abazi,M
Besarta,Syla,F
Gezim,Miftari,M
Endrit,Limani,M
Teuta,Bajrami,F
Isa,Dauti,M
Donika,Hoxha,F
Blerina,Hajdari,F
Arjeta,Limani,F
Elira,Nuhiu,F
Hana,Salihu,F
Kujtesa,Ahmeti,F
Naim,Hoxha,M
Qendresa,Aliu,F
Rexhep,Berisha,M
Dardan,Hajdari,M
Sokol,Shala,M
Yllka,Isufi,F
Spartak,Morina,M
Edona,Hajdari,F
Valon,Nuhiu,M
Zylfije,Ibrahimi,F
Hana,Gashi,F
Xhevahire,Abazi,F
Nora,Maliqi,F
Fatmir,Thaqi,M
Shkurte,Ahmeti,F
Haxhere,Hajdari,F
Liridon,Morina,M
Flamur,Sadiku,M
Teuta,Kryeziu,F
Samir,Tahiri,M
Isa,Morina,M
Mergim,Hyseni,M
Jehona,Nuhiu,F
Shkurte,Ferati,F
Xheneta,Mehmeti,F
Adelina,Miftari,F
Besarta,Miftari,F
Edona,Limani,F
Edon,Shala,M
Nerenxa,Krasniqi,F
Saranda,Hoxha,F
Mimoza,Sadiku,F
Fatmire,Zeqiri,F
Egzon,Hasani,M
Valbona,Dauti,F
Faton,Aliu,M
Qendresa,Dauti,F
Donika,Kastrati,F
Burbuqe,Hyseni,F
Edon,Aliu,M
Gezim,Demiri,M
Dardan,Osmani,M
Teuta,Zeqiri,F
Rexhep,Krasniqi,M
Zylfije,Shala,F
Pranvera,Maliqi,F
Samir,Nuhiu,M
Xhevahire,Abazi,F
Vjollca,Demiri,F
Rina,Sadiku,F
Mimoza,Maliqi,F
Urti,Krasniqi,F
Gezim,Hajdari,M
Qendrim,Rexhepi,M
Kushtrim,Ferati,M
Artan,Zeqiri,M
Artan,Sadiku,M
Burbuqe,Gashi,F
Veton,Nuhiu,M
Egzona,Morina,F
Petrit,Demiri,M
Qendresa,Salihu,F
Qendresa,Zeqiri,F
Edona,Nuhiu,F
Luljeta,Syla,F
Gezim,Syla,M
Veton,Ahmeti,M
Dafina,Ibrahimi,F
Yllka,Bajrami,F
Zef,Syla,M
Samir,Berisha,M
Egzona,Thaqi,F
Urti,Kryeziu,F
Jehona,Abazi,F
Spartak,Hajdari,M
Oli,Aliu,F
Enver,Tahiri,M
Gentian,Krasniqi,M
Endrit,Abazi,M
Ilir,Krasniqi,M
Spartak,Thaqi,M
Shaban,Bajrami,M
Tringa,Isufi,F
Agon,Abazi,M
Remzije,Hajdari,F
Vlora,Bajrami,F
Nora,Morina,F
Qamile,Ferati,F
Besim,Gashi,M
Nderim,Hyseni,M
Oli,Sadiku,F
Bashkim,Osmani,M
Fatmir,Kabashi,M
Blerina,Osmani,F
Isa,Abazi,M
Visar,Limani,M
Mentor,Hasani,M
Vlora,Ahmeti,F
Artan,Selimi,M
Mentor,Ibrahimi,M
Faton,Sadiku,M
Petrit,Likaj,M
Zylfije,Bajrami,F
Flamur,Likaj,M
Flutura,Kabashi,F
Teuta,Sinani,F
Jehona,Rugova,F
Kujtim,Krasniqi,M
Vlora,Demiri,F
Kujtesa,Demiri,F
Ramiz,Limani,M
Gezim,Gashi,M
Yllka,Bytyqi,F
Nderim,Kastrati,M
Isa,Zeqiri,M
Qendresa,Osmani,F
Xhevdet,Rexhepi,M
Donika,Thaqi,F
Majlinda,Kryeziu,F
Egzon,Kastrati,M
Artan,Rugova,M
Tringa,Ahmeti,F
Nerenxa,Isufi,F
Redon,Hajdari,M
Drita,Dauti,F
Kujtim,Syla,M
Liridon,Bajrami,M
Edon,Hoxha,M
Petrit,Limani,M
Fitore,Mehmeti,F
Besim,Rexhepi,M
Ymerije,Kabashi,F
Skender,Ibrahimi,M
Majlinda,Ferati,F
Jeta,Ahmeti,F
Isa,Kabashi,M
Flutura,Shala,F
Kujtim,Krasniqi,M
Parin,Hajdari,M
Fitore,Limani,F
Rina,Isufi,F
Arjeta,Syla,F
Donika,Bajrami,F
Besarta,Hajdari,F
Lulzim,Mehmeti,M
Shqipe,Gashi,F
Ganimete,Krasniqi,F
Lavdim,Rugova,M
Majlinda,Ademi,F
Blerim,Ahmeti,M
Fitore,Krasniqi,F
Perparim,Selimi,M
Edon,Ferati,M
Fisnik,Sadiku,M
Erim,Sinani,M
Fatmir,Miftari,M
Perparim,Demiri,M
Egzon,Thaqi,M
Visar,Limani,M
Isa,Maliqi,M
Qamile,Demiri,F
Xhevahire,Rexhepi,F
Zef,Dauti,M
Bashkim,Tahiri,M
Faton,Likaj,M
Haxhere,Isufi,F
Zef,Hoxha,M
Jehona,Mehmeti,F
Arben,Nuhiu,M
Yllka,Miftari,F
Redon,Rexhepi,M
Donika,Abazi,F
Nerenxa,Selimi,F
Agon,Sadiku,M
Blerina,Ferati,F
Oli,Hyseni,F
Lulzim,Selimi,M
Ramiz,Hyseni,M
Rina,Bajrami,F
Besarta,Thaqi,F
Xheneta,Bytyqi,F
Ramiz,Sinani,M
Kastriot,Ferati,M
Zana,Likaj,F
Jeta,Aliu,F
Majlinda,Bytyqi,F
Ilir,Ahmeti,M
Zylfije,Miftari,F
Nderim,Bajrami,M
Qendrim,Hoxha,M
Nderim,Ferati,M
Fatmire,Selimi,F
Urti,Ferati,F
Nora,Demiri,F
Donika,Syla,F
Naim,Bajrami,M
Bashkim,Shala,M
Vjollca,Hyseni,F
Mergim,Thaqi,M
Edon,Sadiku,M
Liridon,Isufi,M
Xheneta,Hajdari,F
Erim,Hasani,M
Haxhere,Tahiri,F
Spartak,Rexhepi,M
Spartak,Berisha,M
Qamile,Hoxha,F
Edona,Ademi,F
Zylfije,Abazi,F
Redon,Bytyqi,M
Flamur,Rugova,M
Redon,Kryeziu,M
Pranvera,Ferati,F
Xhevahire,Abazi,F
Kujtim,Gashi,M
Qamile,Selimi,F
Artan,Hoxha,M
Blerina,Bytyqi,F
Yllka,Hoxha,F
Drilon,Miftari,M
Yll,Rexhepi,M
Fatmire,Salihu,F
Kushtrim,Bajrami,M
Valon,Ademi,M
Dafina,Miftari,F
Lavdim,Tahiri,M
Vjollca,Hajdari,F
Valbona,Ademi,F
Teuta,Ahmeti,F
Arben,Shala,M
Shkelzen,Osmani,M
Hana,Selimi,F
Bujar,Bytyqi,M
Erim,Limani,M
Zana,Shala,F
Fatmir,Zeqiri,M
Hana,Ahmeti,F
Kushtrim,Bajrami,M
Xhevahire,Shala,F
Valbona,Salihu,F
Urti,Nuhiu,F
Xhevahire,Morina,F
Blerina,Osmani,F
Kujtim,Salihu,M
Shkelzen,Miftari,M
Faton,Kastrati,M
Yll,Bajrami,M
Iliriana,Nuhiu,F
Erim,Tahiri,M
Skender,Ademi,M
Zef,Ibrahimi,M
Valon,Sadiku,M
Urti,Isufi,F
Besim,Morina,M
Arjeta,Aliu,F
Agon,Shala,M
Nerenxa,Ahmeti,F
Faton,Limani,M
Drilon,Hajdari,M
Ymerije,Ahmeti,F
Kastriot,Isufi,M
Remzije,Isufi,F
Besnik,Hoxha,M
Zana,Shala,F
Liridon,Bytyqi,M
Vjollca,Kastrati,F
Kushtrim,Maliqi,M
Xhevdet,Rugova,M
Gezim,Hoxha,M
Xhevdet,Isufi,M
Parin,Kryeziu,M
Dafina,Abazi,F
Qendresa,Bytyqi,F
Pranvera,Kryeziu,F
Erzen,Limani,M
Zana,Zeqiri,F
Flutura,Miftari,F
Fisnik,Miftari,M
Samir,Limani,M
Saranda,Sinani,F
Luan,Isufi,M
Drita,Sinani,F
Rexhep,Dauti,M
Erim,Kabashi,M
Rrezart,Thaqi,M
Nerenxa,Ferati,F
Edona,Thaqi,F
Ermal,Kastrati,M
Lulzim,Sadiku,M
Lulzim,Bajrami,M
Gentian,Kabashi,M
Dardan,Rugova,M
Gezim,Maliqi,M
Pajtime,Abazi,F
Erzen,Ademi,M
Burbuqe,Ahmeti,F
Blerta,Aliu,F
Fitore,Kryeziu,F
Xhevahire,Isufi,F
Kaltrina,Osmani,F
Hana,Kastrati,F
Ymerije,Bajrami,F
Saranda,Aliu,F
Kushtrim,Abazi,M
Pajtime,Hyseni,F
Urti,Tahiri,F
Gezim,Thaqi,M
Fatmire,Limani,F
Redon,Aliu,M
Zana,Kryeziu,F
Redon,Maliqi,M
Bujar,Isufi,M
Nderim,Sinani,M
Ymerije,Kabashi,F
Zana,Isufi,F
Qamil,Kastrati,M
Samir,Hyseni,M
Pajtime,Hasani,F
Mergim,Morina,M
Teuta,Aliu,F
Majlinda,Sadiku,F
Parin,Ahmeti,M
Xheneta,Miftari,F
Fjolla,Selimi,F
Jeta,Maliqi,F
Kaltrina,Krasniqi,F
Kujtim,Hajdari,M
Arben,Shala,M
Shqipe,Abazi,F
Gezim,Salihu,M
Valon,Ferati,M
Edon,Tahiri,M
Saranda,Kabashi,F
Liridon,Kryeziu,M
Rexhep,Sadiku,M
Valbona,Bajrami,F
